"x"
198100
376900
377900
378400
387200
394400
417400
417900
487500
494200
540600
653700
672900
677100
692400
692900
716800
968100
968800
971600
972000
973000
977500
983500
995000
995200
1001300
1004600
1012100
1013800
1017400
1018500
1019500
1427400
1469100
1482400
1490300
1515400
1517200
1518200
1519600
1523000
1523600
1528700
1535000
1537100
1537800
1538600
1539600
1542300
1542400
1542600
1542700
1545300
1545600
1569900
1573800
1577100
1579700
1579900
1580100
1580200
1586600
1588200
1589600
1591100
1592000
1593100
1595300
1595600
1598900
1599600
1599900
1600100
1600200
1600300
1602300
1603700
1603800
1605800
1609000
1609100
1609600
1610400
1610500
1610600
1610700
1610800
1611700
1611800
1612200
1612300
1612900
1613000
1614300
1629500
1631900
1757200
1835300
1855900
1875900
1881100
1881900
1882900
1884100
2046500
2046600
2079700
2079800
2100300
2100800
2106800
2109600
2109800
2113300
2128100
2152800
2171600
2174700
2210900
2236800
2239300
2239400
2240000
2240100
2242500
2244200
2267800
2268300
2268500
2268600
2269400
2271600
2272600
2275100
2275300
2283300
2294900
2295200
2298300
2299900
2306300
2309700
2311100
2316600
2318500
2321100
2327500
2328700
2328800
2328900
2329000
2329300
2329400
2329600
2331600
2332300
2334300
2334400
2334700
2338300
2339100
2339800
2340500
2340700
2343200
2350200
2350500
2350600
2351400
2353600
2390800
2391200
2393200
2393500
2395100
2395600
2396800
2399700
2400000
2403200
2416900
2417000
2418600
2420600
2429300
2435000
2452300
2469800
2496300
2599400
2620600
2624600
2641000
2654500
2675200
2691500
2692900
2693700
2694000
2702100
2704200
2706500
2706800
2709800
2725500
2726100
2734200
2741600
2742100
2742500
2742700
2747300
2756200
2856400
2857700
2858100
2858300
2865000
2866200
2897100
2897300
2900200
2903100
2903200
2903700
2903800
2916900
2917200
2936200
2942300
2949200
2953500
2953800
2956500
2956700
2956800
2958500
25100
32500
36200
45200
46000
59300
64000
68100
105200
107900
179800
182300
190500
196100
197300
250000
258600
279700
323700
323800
396500
397100
399200
458700
471200
479300
515100
555700
608400
651600
679300
702600
717400
735100
743000
750300
760900
775900
795100
803700
804600
805000
805400
808700
809600
827100
827300
837100
849400
852400
853200
858300
970000
975000
1005600
1005800
1012000
1022900
1176400
1296000
1345700
1445600
1526600
1527800
1539700
1540400
1544700
1564400
1580400
1593400
1593800
1595800
1596600
1602600
1603600
1609900
1618100
1630100
1831700
2079000
2081200
2092500
2094100
2098200
2103200
2204100
2265100
2286900
2314100
2326700
2332000
2381100
2381800
2381900
2382300
2392000
2402200
2410400
2435700
2448800
2449400
2453300
2461100
2464500
2470600
2475300
2492100
2495100
2498600
2501700
2598600
2623900
2678100
2678300
2695800
2743300
2766200
2902900
2914800
2935300
2935500
