"","WBIC","mean.cpue.fall"
"1",25100,21.3157894736842
"2",30300,12.5238095238095
"3",32500,24.6306818181818
"4",36200,26.0869565217391
"5",37900,18.1818181818182
"6",38700,13.2539682539683
"7",42400,7.36842105263158
"8",45200,18.2608695652174
"9",46000,32.7142857142857
"10",50700,0
"11",58000,12.3076923076923
"12",59300,7.36293436293436
"13",60800,86
"14",64000,18.2352941176471
"15",67400,8.34442069179071
"16",68100,78.1818181818182
"17",68300,65.8333333333333
"18",84600,95.2948278477327
"19",87900,68.8695431791375
"20",94200,37.4733733882224
"21",94300,57.641902951971
"22",97700,0
"23",103400,6
"24",103900,52.5
"25",104000,10.3571428571429
"26",105200,89.3852124183006
"27",105800,128.10588397671
"28",106900,13.7460810758692
"29",107700,11.7
"30",107900,18.9583333333333
"31",117400,71.3333333333333
"32",117900,0
"33",146100,0.833333333333333
"34",149000,36.1904761904762
"35",152200,15.4498017347039
"36",158600,10.625
"37",161600,23.4
"38",178000,30.5
"39",178700,6.875
"40",179800,11.9633685028422
"41",180300,17.275552162864
"42",181400,0
"43",182000,12
"44",182100,59.4865421314183
"45",182300,16.2529009271245
"46",183000,38.1041666666667
"47",184200,2.22222222222222
"48",186400,17.4017115938958
"49",189500,18.8888888888889
"50",189600,40.8765042519267
"51",190500,0
"52",190900,22.1511672702057
"53",191100,7.85714285714286
"54",191900,10.8165253887633
"55",195400,59.5833333333333
"56",195700,12
"57",196100,31.9047619047619
"58",197300,52
"59",198100,18.3990384615384
"60",199700,0
"61",240900,2
"62",241300,0
"63",245600,24.9366544329985
"64",245650,76.6666666666667
"65",247700,25.9903567090928
"66",250000,12.402896809742
"67",255000,17.1428571428571
"68",257700,3.57575757575758
"69",258600,28.4615384615385
"70",259600,18.5
"71",261100,31.4166666666667
"72",272000,4
"73",272900,11.8181818181818
"74",273800,0
"75",278800,8.44327485380116
"76",279700,28.2857142857142
"77",282800,14
"78",283600,13.5208333333333
"79",294500,10.5
"80",299000,5.83333333333333
"81",322500,2.5
"82",322800,5.44868165432557
"83",323700,8.66666666666667
"84",323800,10.6451612903226
"85",328100,8.33333333333333
"86",329900,16.6666666666667
"87",337600,8.63636363636363
"88",345100,15.2602321148383
"89",350200,6.25
"90",353200,0
"91",373500,4.375
"92",376600,0
"93",376900,2.2
"94",377900,11.0670488931358
"95",378400,0.930555555555555
"96",378900,38.7096774193548
"97",379300,2.85714285714286
"98",387200,14.0398550724638
"99",388100,1.90909090909091
"100",388500,4.77029914529916
"101",389300,12.9647293700089
"102",389700,0
"103",394400,1.33333333333334
"104",396500,0
"105",397100,9.88095238095238
"106",399200,7.7511918857186
"107",406900,1.70727745289149
"108",408000,0.256410256410256
"109",415000,12.7906976744186
"110",417300,15.3656178934017
"111",417400,29.25
"112",417900,5.2
"113",418000,37
"114",418300,17.6666666666667
"115",421200,28.1600879583956
"116",425600,195.555555555556
"117",428100,20.5
"118",439500,18.3200089597961
"119",440200,0
"120",446600,11.7142857142857
"121",449300,3.03030303030303
"122",451000,0.333333333333333
"123",455500,39
"124",458700,5.76086956521739
"125",462520,16.5
"126",466700,19.25
"127",470600,14.0909090909091
"128",470900,0
"129",471200,8.04761904761904
"130",478200,11.9272204801584
"131",479300,13.4782608695652
"132",479700,10.935899581409
"133",487500,10.1022727272727
"134",491800,14.8717948717949
"135",494200,7.9417656179075
"136",496300,29.657953980599
"137",499200,5.93344485579965
"138",501200,19.6
"139",515100,5.14285714285714
"140",515500,0
"141",515800,1.2
"142",519500,33.5
"143",519700,29.2307692307692
"144",523300,11.25
"145",530500,9.09090909090909
"146",531300,2.25
"147",533300,0
"148",533600,24.3478260869565
"149",540600,6.36363636363636
"150",545400,9.95833333333335
"151",548700,50.1392303492975
"152",549400,9.41176470588235
"153",552100,26.7549987478706
"154",555200,8
"155",555700,0.504273504273504
"156",585100,37.3
"157",588000,0
"158",591300,2.67966948089876
"159",591600,2.3076923076923
"160",608400,4.24836601307189
"161",609000,0
"162",609200,0.192307692307693
"163",634300,0.916666666666667
"164",634500,0
"165",647500,0
"166",650500,1
"167",651600,1.62777777777778
"168",653700,0.390561129691564
"169",672300,1.42857142857143
"170",672900,1.11428571428571
"171",677100,0.8
"172",677400,0.303030303030303
"173",679300,14.0317501612223
"174",679900,0
"175",683000,0
"176",692400,0.054945054945055
"177",692900,0.0333333333333332
"178",702600,1.16666666666666
"179",703900,3.63636363636364
"180",704200,1.73809523809524
"181",716800,0.625
"182",717400,3.89952153110048
"183",733850,1.55844155844156
"184",735100,34.2424242424242
"185",737900,12
"186",738400,30.5
"187",739100,0
"188",740200,37.8947368421053
"189",740700,0
"190",740900,8
"191",742500,0
"192",743000,39.6875
"193",744200,29.9845977422219
"194",747100,7.06092092238805
"195",747300,7.75214305614431
"196",747900,10.1409658032972
"197",750300,22.7895989974937
"198",750800,40
"199",753800,17.2727272727273
"200",755500,32.689147791463
"201",758300,5.67408038792613
"202",759800,14.8795721187025
"203",760900,10.2840909090909
"204",761700,4.9553027171341
"205",762700,6.23076923076923
"206",763200,91
"207",763600,25.5
"208",766000,28.85
"209",766600,32.3409090909091
"210",768800,0
"211",772000,6.75
"212",775900,6.25
"213",778400,27.2786853816217
"214",779200,3.74145299145299
"215",779800,32.5
"216",780400,6.79286671042292
"217",788800,0
"218",793600,20.6689386899396
"219",795100,45.2916666666667
"220",799200,3.33333333333333
"221",802600,13.2164638958093
"222",803700,17.7791403662342
"223",804000,30
"224",804600,28.1727354828281
"225",805000,21.2631247166061
"226",805400,6.07240612808984
"227",808700,1.91125323095905
