"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"BB[1,1]",-3.98717768682872,1.40139968473098,-7.01426330732046,-4.8787722518403,-3.87791555649126,-2.99612895475593,-1.56064090616711,1.0011182137116,13000
"BB[2,1]",-0.327453572978378,0.478927880853934,-1.28237434521951,-0.648663943791876,-0.320245025736939,-0.00397174236866055,0.602205470142783,1.00102366240658,34000
"BB[3,1]",-0.019343483524154,0.523260318604479,-1.05889533243562,-0.367670907703004,-0.0160296917534556,0.328642369508812,1.00159900641689,1.00119010227449,8900
"BB[4,1]",-0.468146698901996,0.696995382472593,-1.88797196399726,-0.919225705692435,-0.451701385142818,0.0112522533429538,0.856838710532983,1.00107572552532,18000
"BB[5,1]",-3.96134211723456,1.43087029304558,-6.93601870611568,-4.88838642854564,-3.9027185135486,-2.95721856001918,-1.37226642971394,1.00119086950968,8900
"BB[6,1]",-0.576528791678013,0.609054340375748,-1.82186050959845,-0.972866517888091,-0.560644502315621,-0.166405299953388,0.567747949984402,1.00100515200074,45000
"BB[7,1]",-2.89771877567772,1.20294134294675,-5.55515575219321,-3.64780752046663,-2.81244450897748,-2.04944920535661,-0.826869300133171,1.0010404226894,27000
"BB[8,1]",-3.9041630755188,1.4549351218463,-6.97994773781,-4.83173659928757,-3.82406893100338,-2.87188218258816,-1.31632094348154,1.00109777948628,15000
"BB[9,1]",-2.98278841215766,1.39615230980613,-5.97066075819577,-3.88026936340897,-2.90551130878915,-2.00035355557836,-0.468973842496166,1.00109457835091,15000
"BB[10,1]",-3.2529044030397,1.32146034316055,-6.06049025036126,-4.09115343612196,-3.1600091522785,-2.34003095688789,-0.924144908890143,1.00123239322666,7500
"BB[11,1]",-3.73470120027251,1.28958120842537,-6.54006112287451,-4.55975154370709,-3.63820100065328,-2.79680610888921,-1.51256082039803,1.00134671617623,5200
"BB[12,1]",1.17363141996439,0.536662746083108,0.175939255947506,0.808637880071587,1.1538966575238,1.51439719352664,2.29623875985252,1.00114593738241,11000
"BB[13,1]",-1.20086849153617,0.655863866883371,-2.59533403149946,-1.61959003417647,-1.16807606412354,-0.756226088692699,-0.00467999626599919,1.00124172622156,7200
"BB[14,1]",0.905158747294545,0.54972379062694,-0.119653375327731,0.534470081255799,0.88632854118119,1.25894037163878,2.03939413822485,1.00108146503002,17000
"BB[15,1]",0.909527373995266,0.570961112359955,-0.174530715337685,0.522492188571735,0.89353907344209,1.28471072618218,2.07717718779162,1.00105527792726,22000
"BB[16,1]",-0.749829552110922,0.501645962820212,-1.77544438863796,-1.08420114446487,-0.730104857160974,-0.406105667954967,0.187101296583791,1.00101643172099,39000
"BB[17,1]",-3.71662793697416,1.7617269010447,-7.32612328505724,-4.8632085827126,-3.65310470995103,-2.50847119876902,-0.434050910059161,1.00142962747295,4300
"BB[18,1]",-3.61186800688692,1.66313603152522,-6.96676254641265,-4.71220272821066,-3.57994326716175,-2.46594137203864,-0.486289258068328,1.00143706984347,4200
"BB[19,1]",0.0578777045608333,0.554713196078138,-1.03357834167934,-0.308847489699838,0.0531589552829546,0.425582896057634,1.15316259091234,1.00133484771487,5400
"BB[20,1]",-2.56353071934953,1.16496431034776,-5.17118830317674,-3.28710103376221,-2.47738701400656,-1.74261502040663,-0.567911998582668,1.00098644725278,45000
"BB[21,1]",-3.4032361080602,1.53684750191792,-6.66419258601929,-4.41168930861067,-3.31732732321736,-2.34071281011516,-0.614057896401036,1.00106037294635,21000
"BB[22,1]",-1.76843883947333,1.28687369225764,-4.53663082215599,-2.56583972220158,-1.68041018159233,-0.888435788176674,0.586010385097283,1.00119978593541,8500
"BB[23,1]",-1.51493836444821,0.587763398577851,-2.75438790248452,-1.88653420784347,-1.48803918056498,-1.11209604784857,-0.447995963533365,1.0010306548783,31000
"BB[24,1]",-2.53472124486723,1.22613163455418,-5.1744895824796,-3.31133937412266,-2.44545757498714,-1.66262070371549,-0.402810827156362,1.00143556609589,4300
"BB[25,1]",1.72392873765579,0.865265103112427,0.158735115726537,1.11177920600179,1.68982304570957,2.27461672547882,3.54827224010756,1.00099314851186,45000
"BB[26,1]",-3.66911143364092,1.31933459713054,-6.5087589485706,-4.51234519552597,-3.57075815947735,-2.72624445930406,-1.37628362628488,1.00165079225433,2900
"BB[27,1]",0.941634745736245,0.961432971467918,-0.869519883201239,0.296077261650968,0.911211690903374,1.54044731048037,2.96212071537818,1.00106981907223,19000
"BB[28,1]",0.791315842403837,0.580771609057097,-0.297432551943285,0.386756656697801,0.780572695064558,1.17965328514739,1.9673529963419,1.00099044221162,45000
"BB[29,1]",-2.06672330596236,0.7179907765249,-3.61168884168828,-2.51559632128912,-2.01413861257918,-1.56418472308323,-0.794436099956036,1.00144539548517,4200
"BB[30,1]",2.65123678857627,1.37492611669473,0.143671295024706,1.69882144269619,2.57593276736554,3.5171943907064,5.61128282944889,1.00108729089249,16000
"BB[31,1]",-2.36400527627379,1.16850221043215,-4.88895409107818,-3.08918110693836,-2.28123208962884,-1.5401337908417,-0.310631162400276,1.00108617919655,17000
"BB[32,1]",-2.51903995108909,1.02113688364219,-4.66765356323019,-3.17696715807413,-2.45652815231224,-1.80365562774688,-0.676004497732588,1.0011812758233,9300
"BB[33,1]",-3.69448743411738,1.29464710810908,-6.54310757077298,-4.4958255344614,-3.596509127241,-2.79082615148455,-1.43428046615612,1.00144087363101,4200
"BB[34,1]",1.35702832970318,0.777914561812695,-0.0953714091098666,0.825904125501951,1.32026411527493,1.85431420242208,2.97571663603297,1.00140145870807,4600
